id,name,cat,cost,tourid
28739,Cliffs of Moher,Show,50,112
32543C6JA715D7409FEC7,City Sightseeing tour 24 hours pass,fixed,19,444
3254KC7AEA15DCCF7208A,The best of Dublin walking tour,fixed,12,259
3254KC7AEA15DCCF7208A,The best of Dublin walking tour,fixed,12,259
325496PJMA15E4D48E432,Relaxing bike tour of Dublin,fixed,55,73
25391,Celtic Tour-Drogheda and Meath,Show,45,401
25391,Celtic Tour-Drogheda and Meath,Show,45,401
46198,"Cliffs of Moher, Wild Atlantic Way, Atlantic Edge Ocean Walk & Galway City 1 Day Tour",Show,150,385
46198,"Cliffs of Moher, Wild Atlantic Way, Atlantic Edge Ocean Walk & Galway City 1 Day Tour",Show,100,385
39927,Giants Caueway,Show,260,217
46895,"Kilkenny, Wicklow Mountains & Glendalough 1 Day Tour",Show,35,305
46198,"Cliffs of Moher, Wild Atlantic Way, Atlantic Edge Ocean Walk & Galway City 1 Day Tour",Show,50,385
325449T6HW15D7402F663,Coastal Dublin tour of Howth village and Malahide Castle,fixed,78,233
3254KC7AEA15DCCF7208A,The best of Dublin walking tour,fixed,28,259
32547X9AC7164F636BD7C,Airlink Express: Dublin Airport to Dublin's City Center,fixed,14,498
32547X9AC7164F636BD7C,Airlink Express: Dublin Airport to Dublin's City Center,fixed,7,498
46198,"Cliffs of Moher, Wild Atlantic Way, Atlantic Edge Ocean Walk & Galway City 1 Day Tour",Show,100,385
32547X9AC7164F636BD7C,Airlink Express: Dublin Airport to Dublin's City Center,fixed,14,498
51165,Gravediggers Tour of Dublin,Show,50,101
3254MNCE9J15D73F0FA51,Giants Causeway Shuttle bus,fixed,65,90
32547X9AC7164F636BD7C,Airlink Express: Dublin Airport to Dublin's City Center,fixed,14,498
46198,"Cliffs of Moher, Wild Atlantic Way, Atlantic Edge Ocean Walk & Galway City 1 Day Tour",Show,100,385
32547X9AC7164F636BD7C,Airlink Express: Dublin Airport to Dublin's City Center,fixed,14,498
46895,"Kilkenny, Wicklow Mountains & Glendalough 1 Day Tour",Show,30,305
46198,"Cliffs of Moher, Wild Atlantic Way, Atlantic Edge Ocean Walk & Galway City 1 Day Tour",Show,45,385
57517,Airlink Express travel between Dublin Airport and Dublin's City Centre single journey,Airport transfer,14,176
38169,HAUNTED HISTORY DUBLIN WALK,Walking,75,124
57517,Airlink Express travel between Dublin Airport and Dublin's City Centre single journey,Airport transfer,14,176
57517,Airlink Express travel between Dublin Airport and Dublin's City Centre single journey,Airport transfer,14,176
46895,"Kilkenny, Wicklow Mountains & Glendalough 1 Day Tour",Day tour,160,305
57517,Airlink Express travel between Dublin Airport and Dublin's City Centre single journey,Airport transfer,14,176
57517,Airlink Express travel between Dublin Airport and Dublin's City Centre single journey,Airport transfer,14,176
57517,Airlink Express travel between Dublin Airport and Dublin's City Centre single journey,Airport transfer,7,176
28757,A day tour to the cliffs of Moher,Day tour,100,500
3254LX4MX415EA44401A2,Do Dublin Green Hop-on Hop-Off bus tour 24 hour,Sightseeing,20,178
51172,The original pub crawl,Sightseeing,12,37
51172,The original pub crawl,Sightseeing,12,37
3254KXF7W715DA2D46E2D,Guided tour of the Irish Whiskey Museum with three tastings,Museum,18,65
51172,The original pub crawl,Sightseeing,12,37
28764,A day tour to the cliffs of Moher,Day tour,50,434
51172,The original pub crawl,Sightseeing,12,37
51172,The original pub crawl,Sightseeing,12,37
51172,The original pub crawl,Sightseeing,12,37
51172,The original pub crawl,Sightseeing,12,37
51172,The original pub crawl,Sightseeing,12,37
51172,The original pub crawl,Sightseeing,12,37
51172,The original pub crawl,Sightseeing,24,37
46198,"Cliffs of Moher, Wild Atlantic Way, Atlantic Edge Ocean Walk & Galway City 1 Day Tour",Day tour,50,385
51172,The original pub crawl,Sightseeing,12,37
53437,A tour of Celtic Ireland through the Boyne Valley,Day tour,80,219
51172,The original pub crawl,Sightseeing,12,37
51172,The original pub crawl,Sightseeing,12,37
51172,The original pub crawl,Sightseeing,24,37
46198,"Cliffs of Moher, Wild Atlantic Way, Atlantic Edge Ocean Walk & Galway City 1 Day Tour",Day tour,90,385
51172,The original pub crawl,Sightseeing,12,37
46198,"Cliffs of Moher, Wild Atlantic Way, Atlantic Edge Ocean Walk & Galway City 1 Day Tour",Day tour,50,385
51172,The original pub crawl,Sightseeing,12,37
28765,A day tour to the cliffs of Moher,Day tour,45,435
51172,The original pub crawl,Sightseeing,12,37
28765,A day tour to the cliffs of Moher,Day tour,45,435
46198,"Cliffs of Moher, Wild Atlantic Way, Atlantic Edge Ocean Walk & Galway City 1 Day Tour",Day tour,50,385
12271,"Cliffs Of Moher, the Burren and Galway Tour From Dublin",Day tour,100,56
51172,The original pub crawl,Sightseeing,24,37
51172,The original pub crawl,Sightseeing,12,37
46895,"Kilkenny, Wicklow Mountains & Glendalough 1 Day Tour",Day tour,35,305
51172,The original pub crawl,Sightseeing,12,37
46198,"Cliffs of Moher, Wild Atlantic Way, Atlantic Edge Ocean Walk & Galway City 1 Day Tour",Day tour,50,385
46198,"Cliffs of Moher, Wild Atlantic Way, Atlantic Edge Ocean Walk & Galway City 1 Day Tour",Day tour,50,385
51172,The original pub crawl,Sightseeing,12,37
15,Giant's Causeway Fully Guided experience,Day tour,0.00,356
51172,The original pub crawl,Sightseeing,24,37
51172,The original pub crawl,Sightseeing,12,37
51172,The original pub crawl,Sightseeing,12,37
51172,The original pub crawl,Sightseeing,36,37
51172,The original pub crawl,Sightseeing,12,37
8,Newgrange & Hill of Tara tour,Day tour,0.00,57
11,Cliffs of Moher Fully Guided day trip,Day tour,0.00,352
3254PK9UWY1646F5C363E,Backpackers Pub Crawl,Walking,84,214
